dep_code,dep_nom,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01,AIN,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19,17,18,19,19,19,21,21,21,20,20,20,20,20,20,22,21,20,18,17,18,18,18,18,19,19,21,21,21,21,20,20
02,AISNE,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,15,16,17,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
03,ALLIER,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,14,14,14,14,14,14,11,11,11,12,13,10,10,10,10,10,10,9,8,8,7,7,8,8,8,8,8,8,8,8,8
04,ALPES-DE-HAUTE-PROVENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,12,13,14,13,12,15,14,14,14,15,15,15,15,15,15,13,13,13,13,13,13,13,13,13,13,14,14,14,14,13,13,12,13
05,HAUTES-ALPES,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,20,21,24,24,24,24,23,23,23,22,24,22,22,22,22,22,22,22,22,23,22,22,23,23,23,23,23,21,21,20,19
06,ALPES-MARITIMES,,,,,,,,,,,,,,,,,,,,,,,,,,,33,32,31,31,36,32,34,34,37,38,42,40,42,42,42,41,41,42,41,40,39,42,43,44,43,43,45,43,42,44,45,45,45
07,ARDECHE,,,,,,,,,,,,,,,,,,,,,,,,,,,21,20,20,20,20,20,20,22,22,23,23,22,23,22,23,23,23,22,23,21,22,20,20,21,20,19,19,19,18,19,19,19,19
08,ARDENNES,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,7,7,7,7,7,7,7,7,7,7,6,6,6,5,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5
09,ARIEGE,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,10,10,9,9,9,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10
10,AUBE,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,5,5
11,AUDE,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,14,14,15,13,12,15,14,15,15,14,12,13,11,11,11,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
