dep_code,dep_nom,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01,AIN,12 962,12 754,12 256,11 677,10 703,10 313,9 913,9 631,9 261,8 933,8 726,8 289,8 667,7 957,7 397,8 101,8 399,7 866,8 386,8 475,8 036,8 168,8 389,8 231,7 518,7 331,6 901,6 761,6 299,6 296,5 786,5 777,5 741,6 199,5 832,5 779,5 597,5 597,5 597,6 039,5 801,5 801,7 739,6 556,6 556,6 556,6 346,6 627,6 540,6 438,6 464,6 438,6 438,6 817,6 822,6 822,6 822,6 691,6 691
02,AISNE,21 056,20 358,18 724,17 899,17 328,16 728,17 321,16 968,17 071,17 133,16 626,14 710,14 251,12 675,10 385,9 472,9 160,9 015,9 005,8 738,7 700,7 977,7 977,7 343,7 531,7 531,7 338,7 338,7 338,7 399,8 038,7 343,7 424,7 424,7 415,7 303,7 303,7 303,7 435,6 975,6 393,7 122,7 704,7 122,7 122,7 122,7 122,7 122,7 122,7 041,7 122,6 774,6 774,7 356,6 774,6 774,6 774,6 501,6 444
03,ALLIER,18 968,18 702,19 608,19 050,17 340,16 650,16 209,16 369,15 002,14 350,13 166,12 568,9 437,9 437,8 742,7 739,7 693,7 693,7 590,7 989,8 216,7 899,7 220,6 302,5 668,5 533,5 013,5 013,4 713,4 713,3 986,3 986,3 904,3 734,3 749,3 749,3 749,3 878,4 903,3 712,3 712,3 712,3 712,3 712,2 994,3 177,3 177,3 177,3 177,3 177,3 177,3 177,3 177,3 177,3 177,3 177,3 177,3 177,3 177
04,ALPES-DE-HAUTE-PROVENCE,43 337,6 675,6 268,5 937,5 937,6 155,5 767,5 457,5 288,5 555,5 330,5 549,5 703,4 926,4 010,3 990,4 126,4 935,5 337,5 220,5 622,4 091,3 995,3 536,3 380,3 327,3 283,3 483,3 637,3 437,3 327,3 437,3 213,3 182,3 182,3 368,3 368,3 439,3 461,3 331,3 763,3 575,3 575,3 575,3 575,3 575,3 575,3 735,4 177,4 177,4 177,4 157,4 776,4 776,4 766,4 766,4 766,4 533,4 533
05,HAUTES-ALPES,7 354,5 603,5 631,5 217,5 199,5 519,5 581,5 745,5 708,5 708,5 649,5 535,5 607,6 095,4 938,4 190,5 068,5 681,5 794,6 133,5 996,5 975,5 725,5 658,5 592,5 432,5 190,5 122,4 984,5 133,5 183,5 327,5 327,5 616,5 583,5 583,5 583,5 133,5 615,4 776,4 776,4 776,4 776,4 776,4 776,4 776,4 776,4 776,4 776,4 725,4 814,4 931,4 931,5 108,5 108,4 559,4 559,4 559,4 421
06,ALPES-MARITIMES,5 603,42 821,42 970,42 615,41 317,41 362,39 896,34 941,34 182,32 837,33 134,31 715,31 567,31 623,27 602,25 860,25 426,25 303,25 284,25 149,24 808,22 381,21 246,19 736,17 855,16 440,14 182,13 960,13 210,13 559,13 403,11 871,12 324,14 017,14 614,15 158,15 318,15 218,15 234,15 211,15 211,15 051,15 101,15 101,16 175,16 175,16 055,16 779,17 151,18 943,18 815,18 273,20 464,19 491,18 453,22 110,22 684,22 543,22 733
07,ARDECHE,8 730,8 919,8 919,8 994,8 075,7 483,7 539,7 491,7 749,7 749,7 728,7 985,7 275,6 811,5 816,6 236,6 951,7 203,6 615,7 006,6 767,6 862,6 748,6 611,7 087,6 534,5 591,5 491,5 491,5 491,4 741,4 731,4 374,4 678,4 622,4 714,4 714,4 714,4 714,4 496,4 686,4 686,4 686,4 496,4 686,4 346,4 596,4 296,4 296,4 462,4 265,4 473,4 473,4 533,4 533,4 587,4 587,4 587,4 587
08,ARDENNES,12 911,12 463,12 463,12 263,12 462,11 597,11 217,11 217,11 386,11 386,11 484,8 553,7 015,6 655,5 966,6 056,6 056,5 677,4 944,4 944,4 164,3 460,3 842,3 417,3 417,3 417,2 783,2 783,3 247,3 247,3 014,3 014,3 014,3 014,3 014,3 014,3 014,3 014,3 593,3 468,3 468,3 018,3 018,3 468,3 468,3 468,3 468,3 468,3 276,3 301,3 276,3 301,3 276,3 276,3 276,3 330,3 330,3 330,3 330
09,ARIEGE,7 121,7 202,6 802,5 375,4 625,4 625,4 482,4 482,4 652,4 312,4 029,3 582,3 590,3 670,3 449,3 760,3 448,3 738,3 711,3 631,3 309,3 309,3 129,2 119,2 641,2 641,2 680,2 680,2 869,2 896,2 596,2 410,2 454,2 596,2 573,2 759,2 759,2 595,2 593,2 580,2 580,2 580,2 580,2 580,2 580,2 580,2 580,2 580,2 580,2 580,2 691,2 670,2 670,2 670,2 670,2 793,2 611,2 611,2 611
10,AUBE,9 814,9 321,9 074,8 563,7 404,7 374,6 860,6 450,6 250,4 601,4 596,4 596,4 004,4 004,4 746,4 746,4 751,4 751,4 597,4 416,4 316,4 570,3 237,3 237,3 237,2 990,3 044,3 044,3 044,3 044,3 029,3 029,3 029,3 029,4 125,4 077,4 077,4 077,4 303,3 491,3 491,3 491,3 491,3 491,3 491,3 491,3 491,3 491,3 491,3 491,3 491,3 491,3 803,3 717,3 717,3 717,4 014,4 014,4 014
